<TICKER>,<PER 5 min>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL,5,20120103,100500,172.5300000,173.7800000,172.2200000,173.3000000,403190
AAPL,5,20120103,101000,173.2900000,173.3400000,173.0700000,173.0700000,269580
AAPL,5,20120103,101500,173.0700000,173.1000000,172.8000000,172.9200000,330500
AAPL,5,20120103,102000,172.9100000,173.5000000,172.9000000,173.3000000,518730
AAPL,5,20120103,102500,173.3000000,173.3800000,173.1600000,173.3000000,133150
AAPL,5,20120103,103000,173.2200000,173.6000000,173.1600000,173.6000000,249900
AAPL,5,20120103,103500,173.5900000,174.1400000,173.5600000,174.0500000,531720
AAPL,5,20120103,104000,174.0500000,174.0600000,173.5800000,173.8600000,206210
AAPL,5,20120103,104500,173.8600000,173.8600000,173.5800000,173.7800000,77240
AAPL,5,20120103,105000,173.7800000,173.7800000,173.3300000,173.4400000,203000
AAPL,5,20120103,105500,173.3800000,173.7000000,173.3500000,173.5900000,209180
AAPL,5,20120103,110000,173.6000000,173.7000000,173.5500000,173.5500000,68290
AAPL,5,20120103,110500,173.5800000,173.7000000,173.5400000,173.6900000,85490
AAPL,5,20120103,111000,173.6900000,173.7000000,173.6000000,173.6900000,42190
AAPL,5,20120103,111500,173.6900000,173.7000000,173.6100000,173.6500000,102970
AAPL,5,20120103,112000,173.6500000,173.7000000,173.6400000,173.6500000,205440
AAPL,5,20120103,112500,173.6800000,173.7100000,173.5000000,173.5700000,297790
AAPL,5,20120103,113000,173.5500000,173.6100000,173.4100000,173.5000000,310080
AAPL,5,20120103,113500,173.5000000,173.6600000,173.4700000,173.6000000,100460
AAPL,5,20120103,114000,173.6100000,173.6800000,173.6000000,173.6300000,233790
AAPL,5,20120103,114500,173.6500000,173.6800000,173.5500000,173.5700000,74260
AAPL,5,20120103,115000,173.5600000,173.6900000,173.5600000,173.6000000,394840
AAPL,5,20120103,115500,173.6000000,173.6900000,173.5400000,173.6700000,300410
AAPL,5,20120103,120000,173.6100000,173.6700000,173.6000000,173.6100000,14430
AAPL,5,20120103,120500,173.6500000,173.6700000,173.6500000,173.6500000,163040
AAPL,5,20120103,121000,173.6500000,173.6700000,173.6000000,173.6000000,30480
AAPL,5,20120103,121500,173.6000000,173.6700000,173.5300000,173.6500000,204640
AAPL,5,20120103,122000,173.6600000,174.0000000,173.6600000,173.8200000,615850
AAPL,5,20120103,122500,173.8900000,174.0000000,173.5300000,173.5700000,314530
AAPL,5,20120103,123000,173.5700000,173.5900000,173.3900000,173.4500000,116580
AAPL,5,20120103,123500,173.3900000,173.5700000,173.3700000,173.5000000,55800
AAPL,5,20120103,124000,173.5500000,173.5500000,173.1500000,173.3100000,149380
AAPL,5,20120103,124500,173.3600000,173.5000000,173.3400000,173.4700000,27840
AAPL,5,20120103,125000,173.4800000,173.5000000,173.4200000,173.4200000,35140
AAPL,5,20120103,125500,173.4200000,173.5500000,173.4000000,173.5500000,27550
AAPL,5,20120103,130000,173.5500000,174.0400000,173.5100000,173.8200000,606510
AAPL,5,20120103,130500,173.7700000,174.0300000,173.7300000,173.8600000,315570
AAPL,5,20120103,131000,173.9000000,174.0300000,173.7300000,173.8100000,129770
AAPL,5,20120103,131500,173.8200000,174.0000000,173.6900000,173.8700000,89140
AAPL,5,20120103,132000,173.8700000,174.0000000,173.7800000,173.8000000,93330
AAPL,5,20120103,132500,173.8200000,174.0300000,173.8000000,173.8000000,89230
AAPL,5,20120103,133000,173.8300000,173.8500000,173.5100000,173.6100000,126280
AAPL,5,20120103,133500,173.6500000,173.7200000,173.4700000,173.6000000,85860
AAPL,5,20120103,134000,173.6300000,173.8800000,173.5200000,173.7000000,63790
AAPL,5,20120103,134500,173.6300000,173.9000000,173.5600000,173.8000000,231520
AAPL,5,20120103,135000,173.8000000,173.8000000,173.3400000,173.5000000,278920
AAPL,5,20120103,135500,173.5000000,173.6500000,173.4100000,173.6500000,120890
AAPL,5,20120103,140000,173.6500000,173.7100000,173.4300000,173.6200000,63780
AAPL,5,20120103,140500,173.5300000,173.7000000,173.5000000,173.6900000,139830
AAPL,5,20120103,141000,173.5700000,173.5900000,173.2300000,173.5500000,100130
AAPL,5,20120103,141500,173.5500000,173.6600000,173.5100000,173.6600000,30230
AAPL,5,20120103,142000,173.6400000,173.6600000,173.5100000,173.5500000,17220
AAPL,5,20120103,142500,173.5500000,173.6700000,173.4500000,173.6000000,114940
AAPL,5,20120103,143000,173.6000000,173.6000000,173.4200000,173.5600000,222560
AAPL,5,20120103,143500,173.5600000,173.6000000,173.3600000,173.3700000,137550
AAPL,5,20120103,144000,173.4500000,173.4700000,173.2500000,173.3000000,165400
AAPL,5,20120103,144500,173.3000000,173.4700000,173.2200000,173.4500000,82420
AAPL,5,20120103,145000,173.4500000,173.5600000,173.3400000,173.4000000,89790
AAPL,5,20120103,145500,173.4700000,173.4700000,173.3500000,173.3600000,3380
AAPL,5,20120103,150000,173.4200000,173.6000000,173.2500000,173.6000000,190890
AAPL,5,20120103,150500,173.6000000,173.6000000,173.3400000,173.5000000,325960
AAPL,5,20120103,151000,173.5000000,173.5400000,173.2800000,173.5300000,35480
AAPL,5,20120103,151500,173.5500000,173.6900000,173.5200000,173.6000000,298200
AAPL,5,20120103,152000,173.6000000,173.6000000,173.5700000,173.5900000,170600
AAPL,5,20120103,152500,173.6000000,173.7800000,173.5500000,173.6000000,260610
AAPL,5,20120103,153000,173.6800000,173.7700000,173.5000000,173.6800000,96270
AAPL,5,20120103,153500,173.6800000,173.7000000,173.4000000,173.6900000,195800
AAPL,5,20120103,154000,173.6800000,173.9300000,173.6800000,173.7600000,209780
AAPL,5,20120103,154500,173.8000000,173.9600000,173.7500000,173.8400000,99840
AAPL,5,20120103,155000,173.8400000,174.0000000,173.8100000,173.9000000,327140
AAPL,5,20120103,155500,173.9100000,173.9800000,173.7900000,173.8000000,67870
AAPL,5,20120103,160000,173.8000000,173.9900000,173.8000000,173.9000000,84020
AAPL,5,20120103,160500,173.9000000,173.9300000,173.7500000,173.9000000,87800
AAPL,5,20120103,161000,173.9300000,173.9600000,173.8600000,173.9000000,21400
AAPL,5,20120103,161500,173.9500000,173.9700000,173.9000000,173.9700000,18680
AAPL,5,20120103,162000,173.9700000,174.8900000,173.9000000,174.8800000,1172740
AAPL,5,20120103,162500,174.8800000,174.8900000,174.7700000,174.8000000,163540
AAPL,5,20120103,163000,174.7900000,174.8400000,174.7800000,174.8100000,174130
AAPL,5,20120103,163500,174.8200000,174.8400000,174.6400000,174.6500000,663020
AAPL,5,20120103,164000,174.7300000,174.8000000,174.6100000,174.7900000,84670
AAPL,5,20120103,164500,174.8000000,174.9200000,174.6500000,174.9000000,217610
AAPL,5,20120103,165000,174.9100000,174.9500000,174.8300000,174.9100000,249820
AAPL,5,20120103,165500,174.9300000,175.0900000,174.9000000,174.9900000,713010
AAPL,5,20120103,170000,174.9900000,175.1500000,174.9100000,175.1000000,229970
AAPL,5,20120103,170500,175.1300000,175.7200000,175.1000000,175.7100000,910180
AAPL,5,20120103,171000,175.7100000,175.7900000,175.6000000,175.7900000,317410
AAPL,5,20120103,171500,175.7900000,175.8800000,175.5000000,175.8500000,559620
AAPL,5,20120103,172000,175.8500000,176.0000000,175.7900000,175.9500000,324220
AAPL,5,20120103,172500,175.9500000,176.0000000,175.8500000,175.8900000,198270
AAPL,5,20120103,173000,175.8800000,175.9700000,175.8500000,175.9100000,74960
AAPL,5,20120103,173500,175.9100000,175.9500000,175.8500000,175.8700000,118500
AAPL,5,20120103,174000,175.8600000,175.9000000,175.8500000,175.8600000,71700
AAPL,5,20120103,174500,175.8800000,175.9600000,175.8600000,175.9100000,74560
AAPL,5,20120103,175000,175.9200000,176.1600000,175.8600000,176.0000000,568470
AAPL,5,20120103,175500,176.0000000,176.0500000,175.8500000,175.8500000,92270
AAPL,5,20120103,180000,175.8700000,176.0000000,175.8600000,175.9000000,69220
AAPL,5,20120103,180500,175.9100000,176.3500000,175.8500000,176.3000000,461160
AAPL,5,20120103,181000,176.3400000,176.3500000,176.2000000,176.2500000,112090
AAPL,5,20120103,181500,176.2500000,176.6000000,176.2100000,176.6000000,359480
AAPL,5,20120103,182000,176.5900000,176.8000000,176.5600000,176.8000000,514080
AAPL,5,20120103,182500,176.7600000,176.9900000,176.7500000,176.9900000,570970
AAPL,5,20120103,183000,176.9100000,177.1000000,176.7600000,176.7900000,546410
AAPL,5,20120103,183500,176.7900000,177.2800000,176.7800000,177.2100000,853490
AAPL,5,20120103,184000,177.2000000,177.6000000,177.2000000,177.5000000,616920
AAPL,5,20120103,184500,177.5100000,177.6000000,177.1100000,177.5000000,772620
AAPL,5,20120104,100500,177.5500000,177.8700000,176.9200000,177.0000000,597240
AAPL,5,20120104,101000,176.9900000,177.1800000,176.6300000,176.6400000,307440
AAPL,5,20120104,101500,176.6800000,177.1400000,176.5300000,177.0000000,326820
AAPL,5,20120104,102000,177.0000000,177.0900000,176.8800000,177.0000000,219520
AAPL,5,20120104,102500,176.9800000,177.0500000,176.7800000,177.0000000,370910
AAPL,5,20120104,103000,176.9600000,177.1800000,176.8400000,176.9100000,190130
AAPL,5,20120104,103500,176.9100000,177.1000000,176.9000000,176.9000000,276060
AAPL,5,20120104,104000,176.8800000,177.1000000,176.8300000,176.9900000,292490
AAPL,5,20120104,104500,176.9900000,177.2400000,176.9400000,177.0700000,414740
AAPL,5,20120104,105000,177.0500000,177.1000000,176.9400000,176.9900000,117350
AAPL,5,20120104,105500,176.9700000,177.1800000,176.9500000,177.0300000,140630
AAPL,5,20120104,110000,177.0300000,177.2400000,177.0300000,177.2000000,265630
AAPL,5,20120104,110500,177.2000000,177.4000000,177.1900000,177.4000000,190240
AAPL,5,20120104,111000,177.3100000,177.4700000,177.3000000,177.4000000,91010
AAPL,5,20120104,111500,177.3500000,177.5000000,177.3200000,177.4900000,171730
AAPL,5,20120104,112000,177.4400000,177.5800000,177.3900000,177.4700000,199390
AAPL,5,20120104,112500,177.4000000,177.4600000,177.2200000,177.3300000,253430
AAPL,5,20120104,113000,177.3300000,177.3400000,177.2000000,177.2300000,60230
AAPL,5,20120104,113500,177.2300000,177.3900000,177.1900000,177.3400000,235540
AAPL,5,20120104,114000,177.3500000,177.3500000,177.2600000,177.3000000,36580
AAPL,5,20120104,114500,177.3000000,177.3100000,177.1500000,177.2100000,169970
AAPL,5,20120104,115000,177.2200000,177.2800000,177.0300000,177.0300000,76040
AAPL,5,20120104,115500,177.0500000,177.1100000,177.0200000,177.0800000,96530
AAPL,5,20120104,120000,177.1000000,177.1400000,177.0600000,177.0700000,135650
AAPL,5,20120104,120500,177.0700000,177.3100000,177.0700000,177.2100000,450270
AAPL,5,20120104,121000,177.2100000,177.3900000,177.0400000,177.0600000,515760
AAPL,5,20120104,121500,177.0500000,177.2800000,177.0500000,177.2000000,507660
AAPL,5,20120104,122000,177.2000000,178.1000000,177.2000000,177.7000000,1397070
AAPL,5,20120104,122500,177.7900000,177.8000000,177.2300000,177.4700000,542550
AAPL,5,20120104,123000,177.4800000,177.5000000,177.1100000,177.1100000,936670
AAPL,5,20120104,123500,177.1100000,177.3000000,176.7000000,176.7000000,720770
AAPL,5,20120104,124000,176.7000000,177.0000000,176.1000000,176.5500000,1057770
AAPL,5,20120104,124500,176.5200000,176.8600000,175.8600000,175.9000000,900710
AAPL,5,20120104,125000,175.8700000,176.4200000,175.8500000,176.1500000,194240
AAPL,5,20120104,125500,176.1800000,176.2200000,175.8500000,175.8900000,256660
AAPL,5,20120104,130000,175.9000000,176.3100000,175.8200000,176.2000000,303670
AAPL,5,20120104,130500,176.1500000,176.3500000,175.9000000,176.2500000,225950
AAPL,5,20120104,131000,176.2200000,176.5300000,176.1600000,176.5000000,202210
AAPL,5,20120104,131500,176.4600000,176.8500000,176.3800000,176.7500000,212790
AAPL,5,20120104,132000,176.7200000,176.7500000,176.4300000,176.5000000,128730
AAPL,5,20120104,132500,176.5400000,176.8900000,176.3000000,176.8600000,312440
AAPL,5,20120104,133000,176.8900000,177.0600000,176.7500000,177.0600000,322380
AAPL,5,20120104,133500,177.0700000,177.3300000,177.0700000,177.2300000,378290
AAPL,5,20120104,134000,177.2700000,177.2800000,176.8100000,177.1900000,161250
AAPL,5,20120104,134500,177.1200000,177.2300000,176.9900000,177.0000000,144590
AAPL,5,20120104,135000,177.0000000,177.0700000,176.6600000,176.8200000,90510
AAPL,5,20120104,135500,176.8300000,176.9200000,176.6400000,176.6600000,95840
AAPL,5,20120104,140000,176.6500000,176.8100000,176.6400000,176.8000000,28540
AAPL,5,20120104,140500,176.7900000,177.1800000,176.7900000,177.0200000,108590
AAPL,5,20120104,141000,177.0200000,177.1900000,176.7200000,176.7200000,71680
AAPL,5,20120104,141500,176.7300000,176.8600000,176.6000000,176.8600000,141030
AAPL,5,20120104,142000,176.7900000,176.8900000,176.7100000,176.8800000,60000
AAPL,5,20120104,142500,176.8900000,177.2000000,176.7900000,176.9800000,154340
AAPL,5,20120104,143000,176.8700000,177.1200000,176.8500000,176.9800000,80520
AAPL,5,20120104,143500,177.0000000,177.3200000,177.0000000,177.1600000,160490
AAPL,5,20120104,144000,177.2400000,177.3400000,177.1700000,177.3200000,107930
AAPL,5,20120104,144500,177.3000000,177.3100000,177.1000000,177.1000000,51780
AAPL,5,20120104,145000,177.2200000,177.2500000,176.9900000,177.0800000,107510
AAPL,5,20120104,145500,177.1700000,177.1700000,176.4500000,176.6400000,211710
AAPL,5,20120104,150000,176.5900000,176.8200000,176.4800000,176.8000000,61990
AAPL,5,20120104,150500,176.8000000,176.8500000,176.5800000,176.7100000,44600
AAPL,5,20120104,151000,176.7500000,177.0600000,176.7300000,176.9600000,107270
AAPL,5,20120104,151500,176.9700000,177.2000000,176.7100000,176.9600000,137660
AAPL,5,20120104,152000,177.0000000,177.0100000,176.4500000,176.5600000,111900
AAPL,5,20120104,152500,176.5700000,176.7700000,176.5000000,176.5500000,85240
