<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GOOGL,5,20120103,093500,652.9400000,655.5200000,652.9300000,655.5200000,8947
GOOGL,5,20120103,094000,655.8500000,661.4000000,655.8500000,660.9500000,4863
GOOGL,5,20120103,094500,660.8500000,661.1800000,660.0100000,660.2200000,2200
GOOGL,5,20120103,095000,660.4400000,660.5000000,659.4000000,659.8700000,2900
GOOGL,5,20120103,095500,659.5800000,659.7600000,658.4300000,658.6500000,3000
GOOGL,5,20120103,100000,658.6000000,659.0700000,658.1200000,658.8400000,2600
GOOGL,5,20120103,100500,659.0000000,659.4300000,658.7100000,659.4000000,8690
GOOGL,5,20120103,101000,659.4500000,659.5500000,659.2100000,659.5200000,3500
GOOGL,5,20120103,101500,659.6200000,659.7700000,659.2300000,659.4100000,3689
GOOGL,5,20120103,102000,659.4200000,659.7300000,659.2300000,659.3500000,2800
GOOGL,5,20120103,102500,659.3700000,659.7000000,659.1000000,659.2200000,2480
GOOGL,5,20120103,103000,659.4600000,659.4600000,658.6000000,659.1900000,1500
GOOGL,5,20120103,103500,659.2500000,659.7500000,659.2500000,659.2700000,4000
GOOGL,5,20120103,104000,659.1900000,659.5900000,659.1900000,659.2900000,1700
GOOGL,5,20120103,104500,659.3800000,659.6000000,659.0400000,659.5000000,1400
GOOGL,5,20120103,105000,659.6000000,659.7600000,659.5400000,659.7200000,2200
GOOGL,5,20120103,105500,658.9300000,659.1600000,658.7200000,659.1200000,1977
GOOGL,5,20120103,110000,659.1800000,659.2300000,658.9400000,659.2300000,1538
GOOGL,5,20120103,110500,659.2000000,659.2000000,658.9200000,659.0300000,400
GOOGL,5,20120103,111000,659.5900000,659.9500000,659.4900000,659.6300000,1810
GOOGL,5,20120103,111500,659.1200000,659.8600000,659.0300000,659.6200000,1750
GOOGL,5,20120103,112000,659.5800000,659.8500000,659.2000000,659.3800000,1900
GOOGL,5,20120103,112500,659.4700000,659.6700000,658.6500000,658.6500000,1850
GOOGL,5,20120103,113000,659.1300000,659.4500000,659.1300000,659.4500000,1500
GOOGL,5,20120103,113500,659.2300000,659.8800000,659.2300000,659.7600000,2500
GOOGL,5,20120103,114000,659.9300000,660.8000000,659.8800000,660.6150000,3220
GOOGL,5,20120103,114500,660.5500000,660.5500000,659.7500000,659.7500000,3200
GOOGL,5,20120103,115000,659.8500000,660.3400000,659.8500000,660.3400000,1750
GOOGL,5,20120103,115500,660.3150000,660.9600000,660.3150000,660.9600000,3371
GOOGL,5,20120103,120000,660.9700000,661.7200000,660.9700000,661.0800000,2700
GOOGL,5,20120103,120500,661.1400000,661.5600000,661.0300000,661.4900000,2400
GOOGL,5,20120103,121000,661.4800000,661.6500000,660.9300000,661.5500000,1890
GOOGL,5,20120103,121500,661.3800000,661.6600000,661.2200000,661.2200000,900
GOOGL,5,20120103,122000,661.2000000,661.4100000,660.9100000,661.3900000,1909
