close_time,start_time,end_time,sentiment,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Tue Jan 03 09:35:00 +0000 2012,Tue Jan 03 09:35:49 +0000 2012,Tue Jan 03 09:39:19 +0000 2012,0.11166666666666666,GOOGL,652.94,655.52,652.93,655.52,8947
Tue Jan 03 09:40:00 +0000 2012,Tue Jan 03 09:41:52 +0000 2012,Tue Jan 03 09:44:29 +0000 2012,0.13611111111111113,GOOGL,655.85,661.4,655.85,660.95,4863
Tue Jan 03 09:45:00 +0000 2012,Tue Jan 03 09:45:58 +0000 2012,Tue Jan 03 09:48:34 +0000 2012,-0.04687499999999999,GOOGL,660.85,661.18,660.01,660.22,2200
Tue Jan 03 09:50:00 +0000 2012,Tue Jan 03 09:50:59 +0000 2012,Tue Jan 03 09:54:53 +0000 2012,0.05166666666666666,GOOGL,660.44,660.5,659.4,659.87,2900
Tue Jan 03 09:55:00 +0000 2012,Tue Jan 03 09:55:56 +0000 2012,Tue Jan 03 09:59:31 +0000 2012,0.4625,GOOGL,659.58,659.76,658.43,658.65,3000
Tue Jan 03 10:00:00 +0000 2012,Tue Jan 03 10:00:20 +0000 2012,Tue Jan 03 10:04:24 +0000 2012,0.25312500000000004,GOOGL,658.6,659.07,658.12,658.84,2600
Tue Jan 03 10:05:00 +0000 2012,Tue Jan 03 10:05:38 +0000 2012,Tue Jan 03 10:09:07 +0000 2012,-0.11805555555555555,GOOGL,659.0,659.43,658.71,659.4,8690
Tue Jan 03 10:10:00 +0000 2012,Tue Jan 03 10:11:55 +0000 2012,Tue Jan 03 10:13:42 +0000 2012,0.11388888888888887,GOOGL,659.45,659.55,659.21,659.52,3500
Tue Jan 03 10:15:00 +0000 2012,Tue Jan 03 10:15:04 +0000 2012,Tue Jan 03 10:19:38 +0000 2012,0.11,GOOGL,659.62,659.77,659.23,659.41,3689
Tue Jan 03 10:20:00 +0000 2012,Tue Jan 03 10:20:25 +0000 2012,Tue Jan 03 10:23:21 +0000 2012,0.14829545454545456,GOOGL,659.42,659.73,659.23,659.35,2800
Tue Jan 03 10:25:00 +0000 2012,Tue Jan 03 10:25:27 +0000 2012,Tue Jan 03 10:28:34 +0000 2012,-0.01805555555555556,GOOGL,659.37,659.7,659.1,659.22,2480
Tue Jan 03 10:30:00 +0000 2012,Tue Jan 03 10:31:55 +0000 2012,Tue Jan 03 10:34:52 +0000 2012,0.16666666666666666,GOOGL,659.46,659.46,658.6,659.19,1500
Tue Jan 03 10:35:00 +0000 2012,Tue Jan 03 10:35:02 +0000 2012,Tue Jan 03 10:39:27 +0000 2012,-0.055555555555555566,GOOGL,659.25,659.75,659.25,659.27,4000
Tue Jan 03 10:40:00 +0000 2012,Tue Jan 03 10:40:44 +0000 2012,Tue Jan 03 10:43:10 +0000 2012,0.10511363636363637,GOOGL,659.19,659.59,659.19,659.29,1700
Tue Jan 03 10:45:00 +0000 2012,Tue Jan 03 10:45:47 +0000 2012,Tue Jan 03 10:49:52 +0000 2012,0.22947916666666665,GOOGL,659.38,659.6,659.04,659.5,1400
Tue Jan 03 10:50:00 +0000 2012,Tue Jan 03 10:50:51 +0000 2012,Tue Jan 03 10:53:59 +0000 2012,0.1956439393939394,GOOGL,659.6,659.76,659.54,659.72,2200
Tue Jan 03 10:55:00 +0000 2012,Tue Jan 03 10:55:51 +0000 2012,Tue Jan 03 10:59:48 +0000 2012,0.25916666666666666,GOOGL,658.93,659.16,658.72,659.12,1977
Tue Jan 03 11:00:00 +0000 2012,Tue Jan 03 11:00:25 +0000 2012,Tue Jan 03 11:04:48 +0000 2012,0.12,GOOGL,659.18,659.23,658.94,659.23,1538
Tue Jan 03 11:05:00 +0000 2012,Tue Jan 03 11:05:56 +0000 2012,Tue Jan 03 11:09:26 +0000 2012,0.17813816738816735,GOOGL,659.2,659.2,658.92,659.03,400
Tue Jan 03 11:10:00 +0000 2012,Tue Jan 03 11:10:48 +0000 2012,Tue Jan 03 11:14:53 +0000 2012,0.08888888888888889,GOOGL,659.59,659.95,659.49,659.63,1810
Tue Jan 03 11:15:00 +0000 2012,Tue Jan 03 11:15:13 +0000 2012,Tue Jan 03 11:18:33 +0000 2012,0.09166666666666666,GOOGL,659.12,659.86,659.03,659.62,1750
Tue Jan 03 11:20:00 +0000 2012,Tue Jan 03 11:20:43 +0000 2012,Tue Jan 03 11:23:08 +0000 2012,-0.03166666666666665,GOOGL,659.58,659.85,659.2,659.38,1900
Tue Jan 03 11:25:00 +0000 2012,Tue Jan 03 11:25:56 +0000 2012,Tue Jan 03 11:29:35 +0000 2012,0.2852121212121212,GOOGL,659.47,659.67,658.65,658.65,1850
Tue Jan 03 11:30:00 +0000 2012,Tue Jan 03 11:30:37 +0000 2012,Tue Jan 03 11:34:19 +0000 2012,0.05333333333333333,GOOGL,659.13,659.45,659.13,659.45,1500
Tue Jan 03 11:35:00 +0000 2012,Tue Jan 03 11:36:55 +0000 2012,Tue Jan 03 11:39:47 +0000 2012,-0.013573232323232327,GOOGL,659.23,659.88,659.23,659.76,2500
Tue Jan 03 11:40:00 +0000 2012,Tue Jan 03 11:40:51 +0000 2012,Tue Jan 03 11:44:20 +0000 2012,0.13194444444444442,GOOGL,659.93,660.8,659.88,660.615,3220
Tue Jan 03 11:45:00 +0000 2012,Tue Jan 03 11:45:34 +0000 2012,Tue Jan 03 11:48:09 +0000 2012,0.31666666666666665,GOOGL,660.55,660.55,659.75,659.75,3200
Tue Jan 03 11:50:00 +0000 2012,Tue Jan 03 11:50:35 +0000 2012,Tue Jan 03 11:53:03 +0000 2012,0.125,GOOGL,659.85,660.34,659.85,660.34,1750
Tue Jan 03 11:55:00 +0000 2012,Tue Jan 03 11:55:51 +0000 2012,Tue Jan 03 11:59:48 +0000 2012,0.08166666666666668,GOOGL,660.315,660.96,660.315,660.96,3371
Tue Jan 03 12:00:00 +0000 2012,Tue Jan 03 12:00:56 +0000 2012,Tue Jan 03 12:04:29 +0000 2012,0.26339285714285715,GOOGL,660.97,661.72,660.97,661.08,2700
Tue Jan 03 12:05:00 +0000 2012,Tue Jan 03 12:05:11 +0000 2012,Tue Jan 03 12:09:44 +0000 2012,0.301897095959596,GOOGL,661.14,661.56,661.03,661.49,2400
