close_time,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Tue Jan 03 09:35:00 +0000 2012,AAPL2,409.5100000,410.0000000,409.0000000,409.7800000,91854
Tue Jan 03 09:40:00 +0000 2012,AAPL2,409.7800000,411.5000000,409.7800000,411.2800000,75316
Tue Jan 03 09:45:00 +0000 2012,AAPL2,411.2800000,411.6250000,410.6500000,410.8400000,31130
Tue Jan 03 09:50:00 +0000 2012,AAPL2,410.8400000,411.4500000,410.7200000,411.3800000,24235
Tue Jan 03 09:55:00 +0000 2012,AAPL2,411.2500000,411.5000000,410.8500000,410.9500000,16567
Tue Jan 03 10:00:00 +0000 2012,AAPL2,410.9500000,411.2500000,410.9500000,411.2500000,8165
Tue Jan 03 10:05:00 +0000 2012,AAPL2,411.2800000,411.7400000,411.1600000,411.5800000,31895
Tue Jan 03 10:10:00 +0000 2012,AAPL2,411.6900000,412.0000000,411.5900000,411.9000000,28228
Tue Jan 03 10:15:00 +0000 2012,AAPL2,411.8900000,412.2000000,411.5700000,411.7500000,22405
Tue Jan 03 10:20:00 +0000 2012,AAPL2,411.8400000,412.1500000,411.8200000,412.1300000,14660
Tue Jan 03 10:25:00 +0000 2012,AAPL2,412.1000000,412.4100000,412.1000000,412.3500000,26095
Tue Jan 03 10:30:00 +0000 2012,AAPL2,412.3700000,412.4900000,411.9600000,412.2000000,13077
Tue Jan 03 10:35:00 +0000 2012,AAPL2,412.2200000,412.3600000,411.9600000,412.0300000,9229
Tue Jan 03 10:40:00 +0000 2012,AAPL2,412.0000000,412.0800000,411.8400000,411.9400000,12504
Tue Jan 03 10:45:00 +0000 2012,AAPL2,411.8800000,411.9800000,411.1100000,411.1800000,13546
Tue Jan 03 10:50:00 +0000 2012,AAPL2,411.2100000,411.3200000,410.6200000,410.6900000,17097
Tue Jan 03 10:55:00 +0000 2012,AAPL2,410.6600000,410.8500000,410.2200000,410.7900000,15440
Tue Jan 03 11:00:00 +0000 2012,AAPL2,410.7600000,411.0800000,410.7000000,410.8300000,10055
Tue Jan 03 11:05:00 +0000 2012,AAPL2,410.9700000,411.1000000,410.8800000,411.0700000,4039
Tue Jan 03 11:10:00 +0000 2012,AAPL2,411.0300000,411.0900000,410.7500000,410.7500000,8743
Tue Jan 03 11:15:00 +0000 2012,AAPL2,410.8000000,411.0900000,410.7500000,411.0400000,8481
Tue Jan 03 11:20:00 +0000 2012,AAPL2,411.1600000,411.4300000,411.0500000,411.3700000,10505
Tue Jan 03 11:25:00 +0000 2012,AAPL2,411.3900000,411.3900000,410.8200000,410.9000000,4600
Tue Jan 03 11:30:00 +0000 2012,AAPL2,410.9600000,411.1100000,410.9100000,411.0000000,6800
Tue Jan 03 11:35:00 +0000 2012,AAPL2,410.8900000,411.3300000,410.8900000,411.1700000,3601
Tue Jan 03 11:40:00 +0000 2012,AAPL2,411.0700000,411.2800000,410.9400000,411.1000000,5320
Tue Jan 03 11:45:00 +0000 2012,AAPL2,411.0500000,411.0700000,410.8400000,410.9400000,6865
Tue Jan 03 11:50:00 +0000 2012,AAPL2,410.8800000,410.9200000,410.7500000,410.8900000,27190
Tue Jan 03 11:55:00 +0000 2012,AAPL2,410.8900000,410.9600000,410.8000000,410.9200000,6796
Tue Jan 03 12:00:00 +0000 2012,AAPL2,410.9700000,410.9700000,410.7500000,410.7850000,4700
Tue Jan 03 12:05:00 +0000 2012,AAPL2,410.7500000,410.9400000,410.7500000,410.9000000,6491
Tue Jan 03 12:10:00 +0000 2012,AAPL2,410.9200000,411.0800000,410.9100000,411.0000000,5072
Tue Jan 03 12:15:00 +0000 2012,AAPL2,411.0000000,411.0000000,410.4400000,410.6100000,10989
Tue Jan 03 12:20:00 +0000 2012,AAPL2,410.6200000,410.8200000,410.5000000,410.8200000,6419
Tue Jan 03 12:25:00 +0000 2012,AAPL2,410.7700000,410.8000000,410.6000000,410.6000000,1872
Tue Jan 03 12:30:00 +0000 2012,AAPL2,410.5800000,410.9600000,410.5500000,410.9500000,4698
Tue Jan 03 12:35:00 +0000 2012,AAPL2,410.9400000,410.9500000,410.2800000,410.2800000,13771
Tue Jan 03 12:40:00 +0000 2012,AAPL2,410.2800000,410.5500000,409.9000000,409.9000000,15490
Tue Jan 03 12:45:00 +0000 2012,AAPL2,409.9900000,410.5700000,409.9900000,410.5000000,8019
Tue Jan 03 12:50:00 +0000 2012,AAPL2,410.4100000,410.4100000,409.9400000,409.9600000,5000
Tue Jan 03 12:55:00 +0000 2012,AAPL2,409.9500000,410.1000000,409.9200000,410.0700000,6481
Tue Jan 03 13:00:00 +0000 2012,AAPL2,409.9700000,410.0600000,409.5600000,409.7950000,13715
Tue Jan 03 13:05:00 +0000 2012,AAPL2,409.8100000,409.9200000,409.3000000,409.4200000,22380
Tue Jan 03 13:10:00 +0000 2012,AAPL2,409.5100000,409.6300000,409.4000000,409.6000000,6932
Tue Jan 03 13:15:00 +0000 2012,AAPL2,409.6500000,409.7800000,409.4950000,409.7800000,7100
Tue Jan 03 13:20:00 +0000 2012,AAPL2,409.7900000,410.2100000,409.7900000,410.2000000,6945
Tue Jan 03 13:25:00 +0000 2012,AAPL2,410.1700000,410.2600000,410.0400000,410.1300000,4477
Tue Jan 03 13:30:00 +0000 2012,AAPL2,410.1000000,410.1000000,409.7850000,409.8350000,14775
Tue Jan 03 13:35:00 +0000 2012,AAPL2,409.8000000,409.8000000,409.2700000,409.5100000,12444
Tue Jan 03 13:40:00 +0000 2012,AAPL2,409.5700000,409.7000000,409.2450000,409.2450000,8517
Tue Jan 03 13:45:00 +0000 2012,AAPL2,409.2800000,409.9900000,409.2800000,409.8500000,12304
Tue Jan 03 13:50:00 +0000 2012,AAPL2,409.8700000,410.7900000,409.8700000,410.7700000,14473
Tue Jan 03 13:55:00 +0000 2012,AAPL2,410.7800000,410.8800000,410.6700000,410.7900000,8920
Tue Jan 03 14:00:00 +0000 2012,AAPL2,410.7400000,410.9000000,410.6600000,410.9000000,7374
Tue Jan 03 14:05:00 +0000 2012,AAPL2,410.8500000,411.0000000,410.8200000,411.0000000,14013
Tue Jan 03 14:10:00 +0000 2012,AAPL2,411.0500000,411.1600000,410.9000000,410.9200000,7664
Tue Jan 03 14:15:00 +0000 2012,AAPL2,410.9500000,411.0000000,410.7200000,410.7400000,5248
Tue Jan 03 14:20:00 +0000 2012,AAPL2,410.8200000,410.8200000,410.5000000,410.7100000,8757
Tue Jan 03 14:25:00 +0000 2012,AAPL2,410.7400000,410.9100000,410.6600000,410.8500000,6020
Tue Jan 03 14:30:00 +0000 2012,AAPL2,410.8800000,410.9500000,410.7300000,410.9000000,9356
Tue Jan 03 14:35:00 +0000 2012,AAPL2,410.9600000,411.1500000,410.8900000,411.1500000,12507
Tue Jan 03 14:40:00 +0000 2012,AAPL2,411.1500000,411.5300000,411.0900000,411.2300000,27551
Tue Jan 03 14:45:00 +0000 2012,AAPL2,411.2700000,411.6000000,411.2400000,411.6000000,11884
Tue Jan 03 14:50:00 +0000 2012,AAPL2,411.5500000,411.5500000,411.3700000,411.4100000,5368
Tue Jan 03 14:55:00 +0000 2012,AAPL2,411.4300000,411.5500000,411.2100000,411.2300000,6615
Tue Jan 03 15:00:00 +0000 2012,AAPL2,411.2100000,411.7600000,411.2100000,411.7600000,13039
Tue Jan 03 15:05:00 +0000 2012,AAPL2,411.7500000,411.8600000,411.6000000,411.6600000,16573
Tue Jan 03 15:10:00 +0000 2012,AAPL2,411.6500000,411.8100000,411.4400000,411.7500000,8825
Tue Jan 03 15:15:00 +0000 2012,AAPL2,411.7600000,411.9600000,411.6400000,411.9600000,13003
Tue Jan 03 15:20:00 +0000 2012,AAPL2,411.7300000,411.8400000,411.6800000,411.8000000,7365
Tue Jan 03 15:25:00 +0000 2012,AAPL2,411.8400000,411.9000000,411.4600000,411.4600000,14385
Tue Jan 03 15:30:00 +0000 2012,AAPL2,411.5000000,411.6600000,411.4200000,411.5100000,20860
Tue Jan 03 15:35:00 +0000 2012,AAPL2,411.4500000,411.7500000,411.4500000,411.5100000,7999
Tue Jan 03 15:40:00 +0000 2012,AAPL2,411.5000000,411.5700000,411.2600000,411.4600000,15427
Tue Jan 03 15:45:00 +0000 2012,AAPL2,411.4500000,411.9200000,411.4500000,411.9200000,22393
Tue Jan 03 15:50:00 +0000 2012,AAPL2,411.9400000,412.0200000,411.6700000,411.7500000,29992
Tue Jan 03 15:55:00 +0000 2012,AAPL2,411.7400000,411.8500000,411.3600000,411.3700000,29379
Tue Jan 03 16:00:00 +0000 2012,AAPL2,411.3600000,411.3800000,410.7100000,410.9000000,20913
Wed Jan 04 09:35:00 +0000 2012,AAPL2,410.2100000,411.5000000,409.8400000,410.7100000,25128
Wed Jan 04 09:40:00 +0000 2012,AAPL2,410.6100000,410.6100000,409.3800000,409.5300000,24719
Wed Jan 04 09:45:00 +0000 2012,AAPL2,409.5300000,410.3400000,409.4500000,410.2500000,13356
Wed Jan 04 09:50:00 +0000 2012,AAPL2,410.2100000,410.8800000,410.0000000,410.8800000,15799
Wed Jan 04 09:55:00 +0000 2012,AAPL2,410.8800000,411.0000000,410.5600000,410.5700000,16860
Wed Jan 04 10:00:00 +0000 2012,AAPL2,410.6500000,410.9200000,410.6100000,410.8500000,16845
Wed Jan 04 10:05:00 +0000 2012,AAPL2,410.7300000,411.0000000,410.4500000,410.4600000,25639
Wed Jan 04 10:10:00 +0000 2012,AAPL2,410.4600000,410.6300000,410.3300000,410.4000000,10333
Wed Jan 04 10:15:00 +0000 2012,AAPL2,410.4100000,410.4100000,409.7500000,409.8600000,12693
Wed Jan 04 10:20:00 +0000 2012,AAPL2,409.8500000,410.3000000,409.7000000,410.0500000,13675
Wed Jan 04 10:25:00 +0000 2012,AAPL2,410.0700000,410.3800000,410.0700000,410.3500000,8821
Wed Jan 04 10:30:00 +0000 2012,AAPL2,410.3800000,410.4700000,410.0800000,410.2000000,21264
Wed Jan 04 10:35:00 +0000 2012,AAPL2,410.1900000,410.3500000,410.0100000,410.1000000,9434
Wed Jan 04 10:40:00 +0000 2012,AAPL2,410.1000000,410.1800000,409.4300000,409.4500000,13969
Wed Jan 04 10:45:00 +0000 2012,AAPL2,409.4900000,409.9500000,409.4000000,409.8900000,6200
Wed Jan 04 10:50:00 +0000 2012,AAPL2,409.8900000,410.2400000,409.8200000,410.2400000,8543
Wed Jan 04 10:55:00 +0000 2012,AAPL2,410.1900000,410.8000000,410.1900000,410.7400000,13884
Wed Jan 04 11:00:00 +0000 2012,AAPL2,410.8500000,410.9400000,410.7700000,410.9000000,8979
Wed Jan 04 11:05:00 +0000 2012,AAPL2,410.8500000,410.9400000,410.7300000,410.8300000,8274
Wed Jan 04 11:10:00 +0000 2012,AAPL2,410.8400000,411.7500000,410.7800000,411.5100000,16061
