<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
AAPL2,5,20120103,093500,409.5100000,410.0000000,409.0000000,409.7800000,91854
AAPL2,5,20120103,094000,409.7800000,411.5000000,409.7800000,411.2800000,75316
AAPL2,5,20120103,094500,411.2800000,411.6250000,410.6500000,410.8400000,31130
AAPL2,5,20120103,095000,410.8400000,411.4500000,410.7200000,411.3800000,24235
AAPL2,5,20120103,095500,411.2500000,411.5000000,410.8500000,410.9500000,16567
AAPL2,5,20120103,100000,410.9500000,411.2500000,410.9500000,411.2500000,8165
AAPL2,5,20120103,100500,411.2800000,411.7400000,411.1600000,411.5800000,31895
AAPL2,5,20120103,101000,411.6900000,412.0000000,411.5900000,411.9000000,28228
AAPL2,5,20120103,101500,411.8900000,412.2000000,411.5700000,411.7500000,22405
AAPL2,5,20120103,102000,411.8400000,412.1500000,411.8200000,412.1300000,14660
AAPL2,5,20120103,102500,412.1000000,412.4100000,412.1000000,412.3500000,26095
AAPL2,5,20120103,103000,412.3700000,412.4900000,411.9600000,412.2000000,13077
AAPL2,5,20120103,103500,412.2200000,412.3600000,411.9600000,412.0300000,9229
AAPL2,5,20120103,104000,412.0000000,412.0800000,411.8400000,411.9400000,12504
AAPL2,5,20120103,104500,411.8800000,411.9800000,411.1100000,411.1800000,13546
AAPL2,5,20120103,105000,411.2100000,411.3200000,410.6200000,410.6900000,17097
AAPL2,5,20120103,105500,410.6600000,410.8500000,410.2200000,410.7900000,15440
AAPL2,5,20120103,110000,410.7600000,411.0800000,410.7000000,410.8300000,10055
AAPL2,5,20120103,110500,410.9700000,411.1000000,410.8800000,411.0700000,4039
AAPL2,5,20120103,111000,411.0300000,411.0900000,410.7500000,410.7500000,8743
AAPL2,5,20120103,111500,410.8000000,411.0900000,410.7500000,411.0400000,8481
AAPL2,5,20120103,112000,411.1600000,411.4300000,411.0500000,411.3700000,10505
AAPL2,5,20120103,112500,411.3900000,411.3900000,410.8200000,410.9000000,4600
AAPL2,5,20120103,113000,410.9600000,411.1100000,410.9100000,411.0000000,6800
AAPL2,5,20120103,113500,410.8900000,411.3300000,410.8900000,411.1700000,3601
AAPL2,5,20120103,114000,411.0700000,411.2800000,410.9400000,411.1000000,5320
AAPL2,5,20120103,114500,411.0500000,411.0700000,410.8400000,410.9400000,6865
AAPL2,5,20120103,115000,410.8800000,410.9200000,410.7500000,410.8900000,27190
AAPL2,5,20120103,115500,410.8900000,410.9600000,410.8000000,410.9200000,6796
AAPL2,5,20120103,120000,410.9700000,410.9700000,410.7500000,410.7850000,4700
AAPL2,5,20120103,120500,410.7500000,410.9400000,410.7500000,410.9000000,6491
AAPL2,5,20120103,121000,410.9200000,411.0800000,410.9100000,411.0000000,5072
AAPL2,5,20120103,121500,411.0000000,411.0000000,410.4400000,410.6100000,10989
AAPL2,5,20120103,122000,410.6200000,410.8200000,410.5000000,410.8200000,6419
AAPL2,5,20120103,122500,410.7700000,410.8000000,410.6000000,410.6000000,1872
AAPL2,5,20120103,123000,410.5800000,410.9600000,410.5500000,410.9500000,4698
AAPL2,5,20120103,123500,410.9400000,410.9500000,410.2800000,410.2800000,13771
AAPL2,5,20120103,124000,410.2800000,410.5500000,409.9000000,409.9000000,15490
AAPL2,5,20120103,124500,409.9900000,410.5700000,409.9900000,410.5000000,8019
AAPL2,5,20120103,125000,410.4100000,410.4100000,409.9400000,409.9600000,5000
AAPL2,5,20120103,125500,409.9500000,410.1000000,409.9200000,410.0700000,6481
AAPL2,5,20120103,130000,409.9700000,410.0600000,409.5600000,409.7950000,13715
AAPL2,5,20120103,130500,409.8100000,409.9200000,409.3000000,409.4200000,22380
AAPL2,5,20120103,131000,409.5100000,409.6300000,409.4000000,409.6000000,6932
AAPL2,5,20120103,131500,409.6500000,409.7800000,409.4950000,409.7800000,7100
AAPL2,5,20120103,132000,409.7900000,410.2100000,409.7900000,410.2000000,6945
AAPL2,5,20120103,132500,410.1700000,410.2600000,410.0400000,410.1300000,4477
AAPL2,5,20120103,133000,410.1000000,410.1000000,409.7850000,409.8350000,14775
AAPL2,5,20120103,133500,409.8000000,409.8000000,409.2700000,409.5100000,12444
AAPL2,5,20120103,134000,409.5700000,409.7000000,409.2450000,409.2450000,8517
AAPL2,5,20120103,134500,409.2800000,409.9900000,409.2800000,409.8500000,12304
AAPL2,5,20120103,135000,409.8700000,410.7900000,409.8700000,410.7700000,14473
AAPL2,5,20120103,135500,410.7800000,410.8800000,410.6700000,410.7900000,8920
AAPL2,5,20120103,140000,410.7400000,410.9000000,410.6600000,410.9000000,7374
AAPL2,5,20120103,140500,410.8500000,411.0000000,410.8200000,411.0000000,14013
AAPL2,5,20120103,141000,411.0500000,411.1600000,410.9000000,410.9200000,7664
AAPL2,5,20120103,141500,410.9500000,411.0000000,410.7200000,410.7400000,5248
AAPL2,5,20120103,142000,410.8200000,410.8200000,410.5000000,410.7100000,8757
AAPL2,5,20120103,142500,410.7400000,410.9100000,410.6600000,410.8500000,6020
AAPL2,5,20120103,143000,410.8800000,410.9500000,410.7300000,410.9000000,9356
AAPL2,5,20120103,143500,410.9600000,411.1500000,410.8900000,411.1500000,12507
AAPL2,5,20120103,144000,411.1500000,411.5300000,411.0900000,411.2300000,27551
AAPL2,5,20120103,144500,411.2700000,411.6000000,411.2400000,411.6000000,11884
AAPL2,5,20120103,145000,411.5500000,411.5500000,411.3700000,411.4100000,5368
AAPL2,5,20120103,145500,411.4300000,411.5500000,411.2100000,411.2300000,6615
