close_time,start_time,end_time,sentiment,TICKER,OPEN,HIGH,LOW,CLOSE,VOL
Tue Jan 03 09:35:00 +0000 2012,Tue Jan 03 09:35:46 +0000 2012,Tue Jan 03 09:39:49 +0000 2012,0.12613756613756616,AAPL2,409.51,410.0,409.0,409.78,91854
Tue Jan 03 09:40:00 +0000 2012,Tue Jan 03 09:40:19 +0000 2012,Tue Jan 03 09:44:45 +0000 2012,0.0014195526695526695,AAPL2,409.78,411.5,409.78,411.28,75316
Tue Jan 03 09:45:00 +0000 2012,Tue Jan 03 09:45:57 +0000 2012,Tue Jan 03 09:49:32 +0000 2012,1.5512265512263034e-05,AAPL2,411.28,411.625,410.65,410.84,31130
Tue Jan 03 09:50:00 +0000 2012,Tue Jan 03 09:50:50 +0000 2012,Tue Jan 03 09:54:58 +0000 2012,0.07857683982683983,AAPL2,410.84,411.45,410.72,411.38,24235
Tue Jan 03 09:55:00 +0000 2012,Tue Jan 03 09:55:56 +0000 2012,Tue Jan 03 09:59:18 +0000 2012,0.05391233766233766,AAPL2,411.25,411.5,410.85,410.95,16567
Tue Jan 03 10:00:00 +0000 2012,Tue Jan 03 10:00:47 +0000 2012,Tue Jan 03 10:04:58 +0000 2012,0.08446969696969697,AAPL2,410.95,411.25,410.95,411.25,8165
Tue Jan 03 10:05:00 +0000 2012,Tue Jan 03 10:05:49 +0000 2012,Tue Jan 03 10:09:52 +0000 2012,0.00481349206349206,AAPL2,411.28,411.74,411.16,411.58,31895
Tue Jan 03 10:10:00 +0000 2012,Tue Jan 03 10:11:50 +0000 2012,Tue Jan 03 10:13:57 +0000 2012,0.1568287037037037,AAPL2,411.69,412.0,411.59,411.9,28228
Tue Jan 03 10:15:00 +0000 2012,Tue Jan 03 10:15:54 +0000 2012,Tue Jan 03 10:19:50 +0000 2012,0.2614594585308871,AAPL2,411.89,412.2,411.57,411.75,22405
Tue Jan 03 10:20:00 +0000 2012,Tue Jan 03 10:21:30 +0000 2012,Tue Jan 03 10:24:47 +0000 2012,-0.14884259259259258,AAPL2,411.84,412.15,411.82,412.13,14660
Tue Jan 03 10:25:00 +0000 2012,Tue Jan 03 10:25:38 +0000 2012,Tue Jan 03 10:29:10 +0000 2012,0.24354545454545454,AAPL2,412.1,412.41,412.1,412.35,26095
Tue Jan 03 10:30:00 +0000 2012,Tue Jan 03 10:30:49 +0000 2012,Tue Jan 03 10:34:57 +0000 2012,0.0008630952380952491,AAPL2,412.37,412.49,411.96,412.2,13077
Tue Jan 03 10:35:00 +0000 2012,Tue Jan 03 10:35:57 +0000 2012,Tue Jan 03 10:39:53 +0000 2012,0.02512175324675324,AAPL2,412.22,412.36,411.96,412.03,9229
Tue Jan 03 10:40:00 +0000 2012,Tue Jan 03 10:40:49 +0000 2012,Tue Jan 03 10:44:50 +0000 2012,0.21575757575757573,AAPL2,412.0,412.08,411.84,411.94,12504
Tue Jan 03 10:45:00 +0000 2012,Tue Jan 03 10:45:40 +0000 2012,Tue Jan 03 10:48:58 +0000 2012,0.08189484126984127,AAPL2,411.88,411.98,411.11,411.18,13546
Tue Jan 03 10:50:00 +0000 2012,Tue Jan 03 10:50:43 +0000 2012,Tue Jan 03 10:54:48 +0000 2012,0.098989898989899,AAPL2,411.21,411.32,410.62,410.69,17097
Tue Jan 03 10:55:00 +0000 2012,Tue Jan 03 10:55:25 +0000 2012,Tue Jan 03 10:59:58 +0000 2012,-0.01117424242424242,AAPL2,410.66,410.85,410.22,410.79,15440
Tue Jan 03 11:00:00 +0000 2012,Tue Jan 03 11:00:27 +0000 2012,Tue Jan 03 11:04:55 +0000 2012,0.2437698412698413,AAPL2,410.76,411.08,410.7,410.83,10055
Tue Jan 03 11:05:00 +0000 2012,Tue Jan 03 11:05:58 +0000 2012,Tue Jan 03 11:09:53 +0000 2012,0.11483766233766232,AAPL2,410.97,411.1,410.88,411.07,4039
Tue Jan 03 11:10:00 +0000 2012,Tue Jan 03 11:10:31 +0000 2012,Tue Jan 03 11:14:52 +0000 2012,0.1030357142857143,AAPL2,411.03,411.09,410.75,410.75,8743
Tue Jan 03 11:15:00 +0000 2012,Tue Jan 03 11:15:37 +0000 2012,Tue Jan 03 11:19:48 +0000 2012,0.2353219696969697,AAPL2,410.8,411.09,410.75,411.04,8481
Tue Jan 03 11:20:00 +0000 2012,Tue Jan 03 11:20:38 +0000 2012,Tue Jan 03 11:24:37 +0000 2012,0.2302549603174603,AAPL2,411.16,411.43,411.05,411.37,10505
Tue Jan 03 11:25:00 +0000 2012,Tue Jan 03 11:25:51 +0000 2012,Tue Jan 03 11:28:36 +0000 2012,0.08813131313131313,AAPL2,411.39,411.39,410.82,410.9,4600
